name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit,recent,days_since_release
Grow Up Tomorrow,The Beaches,52,0.7771885021177243,-0.07034539099643314,2022-07-20,0.47915418623561257,1.273570286632073,A_sharp,1.5110880571892695,major,-0.11523279177733792,-0.8614492737831058,-0.5486728396095292,1.0813133967808002,1.42971646496369,0.28281055894187135,-0.32014129608070013,4/4,False,False,41
bad,Xuitcasecity,46,1.3955119292192038,-0.02944266169263243,2022-07-29,0.8630080733657154,0.059256744044030356,C,0.8678586433399491,major,-0.4507136987380945,-0.8698538361470847,-0.5486728396095292,0.2993358296979224,0.35099298918663313,0.6303250692121377,-0.7784677516588304,4/4,False,False,32
cheerios,Oscar Anton,42,1.2268782672824365,-0.09578619307506564,2022-01-07,1.1037300025828978,0.12175817638312084,F,-0.24780224638338272,major,0.07401284804667853,-0.7951466151339399,-0.5486262679355652,-0.395060249871673,1.7196500473859817,0.5591540423641659,0.009835646204838426,4/4,False,False,235
The Only Place,Big Thief,43,1.676568032447149,0.47754896782488016,2022-02-11,-0.6333714866329897,-1.5345297806027753,E,-0.5105683048069352,major,-0.4191727587674251,1.9195270284312054,-0.5478167426616617,-0.5514557632882486,-0.3397311336429449,-0.1498334604395284,-0.29750913268663026,4/4,True,False,200
Ladybird,NewDad,39,0.5523436195353681,-0.12245402094020477,2022-02-09,-0.36011956698105235,0.6306984111442857,G_sharp,0.23174581023959973,major,-0.42920851239445623,-0.9181022497180739,-0.5381257252118019,-0.7597745871591273,0.7389923421341119,-1.0935991883707694,0.3512921247008135,4/4,False,False,202
Attraction - Background Score,OAFF,42,1.676568032447149,-0.13783741851503656,2022-03-18,-0.7895154407198112,-0.7934413685821319,A,-1.3355442423992123,minor,-0.1496410899271591,1.1973572253041396,2.478485968049876,-0.5764790454349007,-1.7369551771691958,-0.23658284280095446,-1.8429841303230141,4/4,True,False,165
Cathedral (Lost Demo),Crywolf,39,0.8333997227633133,0.03410465321175022,2022-07-29,-0.08686764732911471,-0.7443331003157037,G_sharp,-0.9211402710937354,minor,-0.27437117072026085,0.9421075535092287,-0.5456080125361636,-0.3262462239683799,-1.6256718462688748,0.9734280097794794,-0.6477041409375379,4/4,False,False,32
Tiebreaker,The Head And The Heart,49,1.845201694383916,1.2420056652310998,2022-04-29,0.3425282264096437,0.5414106506598707,F_sharp,0.9858296549863562,major,-0.3790297442593003,-0.7279101162221097,-0.5477516792936239,2.3762682478700454,0.39789400987259216,0.3949264670951176,0.2709982383482968,4/4,True,False,123
Pop Off!,Dance Gavin Dance,59,2.1262577976118613,0.6877125422225525,2022-07-29,0.26445624936623296,1.505718463891552,G,1.4464914011601464,major,-0.012007897327874306,-0.8888419214879256,-0.5486728396095292,-0.941193382722355,1.8091883596046308,0.5927233305723615,-0.3657702521679665,4/4,False,False,32
die sunn und di,Pizzera & Jaus,47,1.1706670466368476,0.14805117584990268,2022-05-20,0.8239720848440101,0.5726613668294159,C,1.0901149344232035,major,-0.529566048664768,-0.5862776763846896,-0.5486728396095292,-0.5201766606049335,0.38083909325951615,-0.8505837354385425,-0.47546080408455843,4/4,False,False,102
Palabras al Viento,Camilo Séptimo,45,1.676568032447149,0.4709244308929289,2022-05-19,0.8499960771918136,0.46105166622389726,F,0.10063649567201505,minor,-0.5209639741273127,-0.4773296457405203,-0.5485190845976923,-0.2636880186017496,0.03974076099799616,-0.5769285523039676,-0.09590685054189908,4/4,True,False,103
Losing You,Tomo,39,0.8333997227633133,-0.15383643245589854,2022-02-04,-0.19096361672032905,-2.1238289997999136,E,-2.375659890325773,major,-0.45214737782767034,2.100069479212971,-0.5222708097372962,-0.5702232248982377,0.3083556976539431,-1.1002165429251574,-0.5002555964251727,4/4,True,False,207
Feelings 4 You,Xavier Omär,51,1.3393007085736148,0.3270539045310448,2022-05-20,0.6808401269310903,-1.2488089470526478,G_sharp,0.3943323088891727,minor,-0.2155903280476497,0.1763585381244957,-0.5486586284001946,-0.38254860879834696,-1.0517739022388677,-0.13959724011321,0.4814144907926074,3/4,False,False,102
Napalm,Zheani,46,0.9458221640544914,-0.003474589104598226,2022-03-22,0.6743341288441395,1.3182141668742804,A_sharp,0.7389390459258939,major,-0.17257995536037327,-0.8941336829763566,-0.5484629246379121,-0.8367211797600823,0.3040919685006741,-0.05753515056114174,-0.8534053593414173,4/4,True,False,161
Synergy (feat. Rob Damiani),Dance Gavin Dance,60,2.1262577976118613,0.6877125422225525,2022-07-29,0.4856601843225634,1.7646529692963548,B,1.7152791817559048,minor,-0.1439063735688556,-0.7979481359219329,-0.5486728396095292,1.7694536558137326,1.2293211947600469,0.14718925596522758,-0.2614862726177357,4/4,False,False,32
