name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
La Canción de los Dos,Angelo Escobar,16,0.12716277789514338,-0.3247723486420641,2022-07-07,0.5579022884931889,-1.4346009610661274,G_sharp,-0.46259800424254627,major,-0.4342798207270418,1.68182593570636,-0.5539060386630088,-0.5503495691926136,-0.7852595554297062,0.016326982890887142,-0.27398692439543154,4/4,FALSE
I Can See a Face,Eve Simpson,3,-1.7164534175936477,-0.6727567364205578,2022-02-18,-0.13630982434120598,-1.340635920282946,D,-0.4354173526182278,major,-0.4472206258322085,1.7535331456401506,-0.5539198998946047,-0.74212918166695,-0.7937837365637183,0.2742043936921112,0.19265746486603708,3/4,FALSE
QTNA,Ye Ali,13,1.014829834982339,1.0288252285590864,2022-04-22,-1.3949747765830063,0.22097356701850188,D_sharp,0.6318392540182712,minor,-0.23010267351218874,-0.6751588777695369,-0.5539198998946047,0.9491353202879369,-0.4741269440382644,-2.039848131106331,-0.7300074935999787,4/4,FALSE
Arkademaskin,Blomst,14,0.12716277789514338,-0.49627404362994154,2022-05-06,-0.15577371535525444,0.9682193675323754,E,0.8165567436284343,major,-0.37532726413683776,-0.8915275894828004,-0.5539198998946047,0.6402285619400121,1.665442520598773,1.1350224404971019,-0.430857799278485,4/4,FALSE
Call Me When You're Lonely,Huey Mack,43,1.1513939976111383,1.5190193884671497,2022-05-27,1.7581755676928432,0.20754998976376163,C,0.9618900237421364,major,-0.34513205222478205,0.26950567048866,-0.5539062770625693,-0.4988651094679594,1.6185595243617064,-1.097863014483937,-0.8245042381961184,4/4,TRUE
Big Little,FELIVAND,36,1.2879581602399377,0.19014401136950074,2022-08-05,0.9212282540887604,-0.2175299566363458,F_sharp,0.5214525259929783,minor,-0.36670006073339323,0.147915184079189,1.227265388726864,0.3377573610576694,0.0799448296725223,-0.5490566869092343,-0.3442096215092672,4/4,TRUE
Black Heart,Radix,1,-1.6481713362792478,-0.6802053845108919,2022-03-12,0.480046724436995,0.9861174705386957,F,0.8883913229212758,minor,-0.19990746160013292,-0.955128766989293,-0.5538054681055078,-0.19639390858561667,0.4763192524040852,0.6203337965066632,0.16027113871142654,4/4,FALSE
Vienna,Gretta Ray,60,1.6976506481263356,2.0657410188521657,2022-05-06,-0.3374366981530402,-1.967069525504157,A,-1.5359563898151165,major,-0.29049309733630013,1.937477727644222,-0.5538817559649057,-0.6623282690937362,-0.6360863855844945,-0.11701400426253271,-0.6837449012953702,4/4,TRUE
Keep On Climbing,Tyrone Wells,26,1.6976506481263356,3.5558362147393776,2022-03-11,0.823908799018518,0.3552093395659044,G_sharp,0.9172360960736136,major,-0.4472206258322085,-0.8291734938882002,-0.5539198998946047,-0.6295069260192693,-0.1374217892447865,-0.9619425653659808,-0.40557913524233496,4/4,FALSE
Born To Die,Clara Alm,9,-1.5116071736504486,-0.6650339049649353,2022-01-14,0.480046724436995,-0.7544730468259556,E,0.5688799895415337,minor,-0.4946702445511532,-0.7247303837672443,-0.553905732149288,-0.47955843707121426,-1.5963353903309578,0.4848948469554199,-0.09619490977853509,4/4,FALSE
Blunt,Camel Power Club,35,1.424522322868737,1.303282777212748,2022-05-20,1.2326505103135352,-0.280173317158467,C,0.16422110464479453,major,-0.2689250888276889,-0.04850021704380243,0.5256895389065531,-0.15134500632654432,0.24190427121875213,-1.099376298836465,0.38941161693677684,4/4,TRUE
Similar,Cassia,34,1.5610864854975364,1.3501224354495116,2022-07-15,1.4402653477967189,0.01067085669423796,C_sharp,0.34533299761091574,minor,1.292598727195765,-0.001734645347852053,-0.5539198998946047,-0.6887140547026215,-0.15020806094580466,-1.100648833405636,-0.2921955994338904,4/4,TRUE
Control,Dehd,38,1.629368566811936,1.858641183604348,2022-05-27,-0.39582837119518566,-2.186321287331581,G,-1.2192185923154073,major,-0.44290702413048627,1.915653794186112,-0.5529526788200951,-0.47955843707121426,0.6127061505482785,-1.5062434327092942,-1.4086636488437232,3/4,TRUE
Ease My Mind (Come Over),Nija,53,1.6976506481263356,0.5342898320339572,2022-01-28,1.031523636501701,-0.26227521415214666,F,0.07824149236378795,minor,-0.29768243350583723,-0.8525562797361751,-0.5539198998946047,-0.16421612125770785,1.469386354516495,0.6281753608788533,-0.6450169331446068,4/4,TRUE
Mind/Heart,Erin Rae,26,1.014829834982339,0.06086655463603278,2022-02-04,1.0120597454876525,-1.407753806556647,D,-0.5557888098116378,major,-0.4846051739138014,1.2827597239009172,-0.2753329847717823,-0.5053006669335413,-0.33774004589407086,0.03469275207838445,0.1704052081983481,4/4,FALSE
Don't Make It Easy,Oh Boland,3,-1.5116071736504486,-0.662611951904888,2022-04-07,-1.7583007421785775,1.402248365435643,D,1.5534852269530648,major,-0.23729200968172573,-0.9540063932685902,-0.5463932851950761,2.725349180788503,0.2760009957548006,0.8434400600259396,0.05432176540144238,4/4,FALSE
Afternoon Insane,Risin Black Hole,2,-0.4873759539344536,-0.6356048904239832,2022-08-13,0.25296799593976277,-0.6828806348006743,B,-0.10037421831030391,minor,-0.0388663314025023,0.3256243565238003,-0.5456780865132205,0.20904621174603427,0.5359885203421695,1.3054732871136476,-0.09657164098622735,4/4,FALSE
California #24,Kendall Street Company,5,0.2637269405239427,-0.23653100224675602,2022-05-26,-1.1743840117571238,0.6102573074059686,E,0.33867651149883776,major,-0.19128025819668848,-0.9567842682273296,-0.5238815552566671,0.42785516557581416,0.4848434335380968,1.3288604089254419,1.2585053976689544,4/4,FALSE
