id,popularity,artist_total_followers
62Xs9S1gahH6vGEJ24qdkK,27,9315
4XMc1qHObZ7aXQrH5MmbjK,47,63992
7t6GsqGAwrj1kwYbvNX0hN,47,91622
3dI4Io8XE33J2o04ZwjR0Y,55,423266
6gpDT4GTTaYjKprMEov92O,19,1691
5SRr4ZJMoygWecytkIwlaV,62,178107
0Guuvi7P0R6ZuX2DeL1m9M,31,15902
3n7oA0vf8A2X0GqEv2GDDy,27,2798
3e4qYL0Jd2HezQLZsCTqpN,17,9489
6P9fFbQ875B2bnmdiYwN9A,49,163173
7rcHjaw38oHqxTjwQUnlRc,24,2307
09Dgzq8dbeGVQ6G30PRSEI,36,30623
4hGFNXuWut4b2sfJCJJNEo,61,6283
2yBkLqum2uhfESXbRF9eD9,10,4801
3J1GpjoKtKt2jMkQJAeiRV,41,194
31eyFwMQgaQ1ryWPeM7hbQ,22,4640
4sN3Jaxi45BzUqavQsK54g,9,755
1aGiVSaZQoVVgMOLYF5yVR,29,3202
0GCJCJGSrE0iyB83DYTNqf,26,12739
07cs9v2qoU2I5sshqk56Fz,24,4404
2sSTjTnRtGa3KrEjMoMaAe,33,31781
5KI5Muz5nOdv5V3DlkBonu,23,297
2TyxurDE5DjnzVrsKZkRtT,31,496
4EMocUxs9mFdhDfo4WT7kR,12,352
0VpEcZXf25duYQuT8BpO7R,14,1234
1QH7G1DjLYaY5EvqO1PA6w,19,589
1QH7G1DjLYaY5EvqO1PA6w,19,589
0ptaRVnCDp9FHTdgbqDxdb,19,265
6SFpEAywC3u4kjE00wHMoO,37,30634
2Ij7GjubJdLi813xVxqt9u,32,6734
6lvM6buema420pXxGaGt3R,10,514
28si7CUH7QTEfq7p4rWbBi,23,11220
0kjtAQI9niv8tH33QkhuuM,7,707
1DYbli9BSIlydAPkPJpyOy,4,702
0FpJe752weMmwiyJyF8zXq,48,94552
2ZE2WXi96FURfsTFCenCx2,2,259
0FpJe752weMmwiyJyF8zXq,48,94552
7lh3aN5caO7mEyllMcGeuS,27,8509
7DzqOghrDEW0vlJxZXaeLj,30,2022
0oEGjaBTQSxRe5AvrZZgUf,19,2364
5ogm4ORgtWxbH7ZJPuCiEC,1,318
6XkMchHBuVhvBzCOyKIlJ0,30,15843
7DzqOghrDEW0vlJxZXaeLj,30,2022
3QJUFtGBGL05vo0kCJZsmT,66,269882
2gbT6GPXMis0OAkZbEQCYB,52,179241
65o6y7GtoXzchyiJB3r9Ur,54,96710
39vA9YljbnOApXKniLWBZv,60,506449
2kVmW0EZG23dqsqeRZ4Jg0,49,37129
2x7EATekOPhFGRx3syMGEC,64,197617
6FbDoZnMBTdhhhLuJBOOqP,58,653779
7MlotYZhHjOlXcvmwrITj8,56,93553
29Wmfm1CojrjQ3aQP0FI65,52,233072
29q1axQPERERxUzqufXMqB,44,95161
2GfXmHBe7KrqhpioTxgU5c,3,101
5hyI0PIcaXdBgI0TD1oa0N,3,205
